umls_cui_from_meddra	side_effect_name
C0541820	Carbohydrate tolerance decreased
C0860711	Carbon dioxide decreased
C0860713	Carbon dioxide increased
C0858970	Carcinogenicity
C0007095	Carcinoid Tumor
C0007097	Carcinoma
C0278488	Carcinoma breast stage IV
C0851140	Carcinoma in situ of uterine cervix
C0238033	Carcinoma of Male Breast
C0699885	Carcinoma of bladder
C0684249	Carcinoma of lung
C0677483	Carcinoma testes
C0018790	Cardiac Arrest
C0003811	Cardiac Arrhythmia
C0376297	Cardiac Death
C0016385	Cardiac Flutter
C1383860	Cardiac Hypertrophy
C0085128	Cardiac Output, High
C0007177	Cardiac Tamponade
C1096252	Cardiac discomfort
C0741921	Cardiac enzymes increased
C0264714	Cardiac failure acute
C0221045	Cardiac failure high output
C0232197	Cardiac fibrillation
C0423636	Cardiac pain
C0877339	Cardio-respiratory distress
C0855931	Cardioactive drug level above therapeutic
C0861111	Cardioactive drug level increased
C0018800	Cardiomegaly
C0878544	Cardiomyopathies
C0007193	Cardiomyopathy, Dilated
C0600228	Cardiopulmonary Arrest
C1444565	Cardiorespiratory failure
C0876994	Cardiotoxicity
C0007222	Cardiovascular Diseases
C1392046	Cardiovascular insufficiency
C0869523	Carditis
C0855977	Carotene decreased
C0007274	Carotid Artery Thrombosis
C0007282	Carotid Stenosis
C0265101	Carotid artery occlusion
C0007280	Carotid bruit
C1096529	Carotid pulse
C0741983	Carotid sinus hypersensitivity
C0007286	Carpal Tunnel Syndrome
C0231785	Carpo-pedal spasm
C0007302	Cartilage Diseases
C0007370	Catalepsy
C0007384	Cataplexy
C0086543	Cataract
C0011876	Cataract diabetic
C0151547	Cataract specified
C0235259	Cataract subcapsular
C0521706	Cataract unilateral
C0007398	Catatonia
C3251821	Catatonic reaction
C0948808	Catheter blockage
C0742006	Catheter infection
C0948806	Catheter related complication
C0860239	Catheter related infection
C0742007	Catheter sepsis
C0920166	Catheter site bleeding
C0948978	Catheter site cellulitis
C0948815	Catheter site erythema
C1112210	Catheter site infection
C0948817	Catheter site inflammation
C0949103	Catheter site pain
C0948818	Catheter site phlebitis
C0863070	Catheter site related reaction
C1868809	Catheter thrombosis
C0392548	Cauda Equina Syndrome
C0007462	Causalgia
C0854388	Caustic injury
C0007642	Cellulitis
C0853857	Cellulitis staphylococcal
C0085136	Central Nervous System Neoplasms
C0155503	Central Nervous System Origin Vertigo
C0730328	Central Serous Chorioretinopathy
C1096243	Central line infection
C0151559	Central nervous system depression (disorder)
C3267019	Central nervous system haemorrhage
C0151560	Central nervous system stimulation (procedure)
C0154841	Central retinal vein occlusion
C0007758	Cerebellar Ataxia
C0007760	Cerebellar Diseases
C0234162	Cerebellar Dysmetria
C0740279	Cerebellar atrophy
C0236073	Cerebellar infarction
C1112625	Cerebellar oedema
C0877854	Cerebral Arteriosclerosis
C0006114	Cerebral Edema
C0007780	Cerebral Embolism
C2937358	Cerebral Hemorrhage
C0007785	Cerebral Infarction
C0917798	Cerebral Ischemia
C0079102	Cerebral Thrombosis
C0265110	Cerebral Vasospasm
C1290398	Cerebral arterial aneurysm
C0007773	Cerebral arteritis
C1504438	Cerebral artery stenosis
C0235946	Cerebral atrophy
C0542007	Cerebral haematoma
C1540600	Cerebral seizure
C1167661	Cerebral vasoconstriction
C0151945	Cerebral venous thrombosis
C0007815	Cerebrospinal Fluid Rhinorrhea
C0023182	Cerebrospinal fluid leak
C0007820	Cerebrovascular Disorders
C0241832	Cerebrovascular Insufficiency
C0038454	Cerebrovascular accident
C1262200	Cerebrovascular infarction
C0271420	Ceruminosis
C0149642	Cervical adenitis
C0007868	Cervical dysplasia
C0007855	Cervical polyp
C0262414	Cervical vertebral fracture
C0158281	Cervicobrachial syndrome
C0007867	Cervix Diseases
C0007869	Cervix Erosion
C0302592	Cervix carcinoma
C0948011	Cervix haemorrhage uterine
C3267206	Chalky taste
C0278008	Change of bowel habit
C0424489	Chapped lips
C0549202	Chapped skin
C0007971	Cheilitis
C0267028	Cheilodynia
C0221264	Cheilosis
C0006435	Chemical Burns
C0149866	Chemical conjunctivitis
C0403639	Chemical cystitis
C1096387	Chemical eye injury
C0441713	Chemical injury
C0341505	Chemical peritonitis
C1963921	Chemical phlebitis
C0271298	Chemosis
C0347941	Chest Mass
C0008031	Chest Pain
C0239026	Chest X-ray normal
C0235710	Chest discomfort
C0742339	Chest heaviness
C0232288	Chest pain exertional
C0438716	Chest pressure
C0232285	Chest pressure sensation of
C0232292	Chest tightness
C0008035	Chest wall pain
C0008039	Cheyne-Stokes Respiration
C0008049	Chickenpox
C0085593	Chills
C0008149	Chlamydia Infections
C0025218	Chloasma
C0235260	Chloropsia
C0008301	Choking
C0546947	Choking sensation
C0206698	Cholangiocarcinoma
C0008311	Cholangitis
C0008313	Cholangitis, Sclerosing
C0008325	Cholecystitis
C0085694	Cholecystitis chronic
C1262168	Cholecystitis infective
C0149520	Cholecystitis, Acute
C0008350	Cholelithiasis
C0008370	Cholestasis
C0005398	Cholestasis, Extrahepatic
C0860204	Cholestatic liver disease
C2242582	Cholestatic liver injury
C0595929	Cholesterol serum elevated
C0393947	Cholinergic crisis
C0274702	Cholinergic syndrome
C0159076	Choluria
C0008449	Chondrodystrophy
C0343263	Chondrolysis
C0008489	Chorea
C0541831	Choreiform
C0234967	Choreoathetoid movements
C0085583	Choreoathetosis
C0008497	Choriocarcinoma
C0008513	Chorioretinitis
C0339383	Chorioretinopathy
C0162279	Choroidal detachment
C0339434	Choroidal effusion
C0346392	Choroidal nevus
C0008526	Choroiditis
C0474381	Chromatopsia
C0541832	Chromaturia
C0948447	Chromosomal mutation
C0015674	Chronic Fatigue Syndrome
C0751249	Chronic Insomnia
C1561643	Chronic Kidney Diseases
C0403447	Chronic Kidney Insufficiency
C0023434	Chronic Lymphocytic Leukemia
C0024117	Chronic Obstructive Airway Disease
C0520463	Chronic active hepatitis
C0581386	Chronic anxiety
C0155145	Chronic conjunctivitis
C0401151	Chronic diarrhea
C0346421	Chronic eosinophilic leukemia
C0867389	Chronic graft versus host disease
C0400930	Chronic hepatic failure
C0267509	Chronic idiopathic constipation
C0238304	Chronic interstitial nephritis
C1279296	Chronic leukaemia
C0341439	Chronic liver disease
C0150055	Chronic pain
C0700509	Chronic peptic ulcer
C0403592	Chronic rejection of renal transplant
C0149516	Chronic sinusitis
C2937222	Chronic ulcerative proctitis
C0008728	Churg-Strauss Syndrome
C0008733	Chylothorax
C2004491	Cicatrix
C0162810	Cicatrix, Hypertrophic
C0235229	Ciliary Body Spasm
C0151555	Cinchonism (disorder)
C1610069	Circulatory depression
C0239062	Circumoral oedema
C0151838	Circumoral paresthesia
C0948342	Citrate toxicity
C0175683	Citrullinemia
C0392162	Clammy skin
C1456822	Claudication (finding)
C0008909	Claustrophobia
C0008924	Cleft Lip
C0008925	Cleft Palate
C0233976	Clitoral engorgement
C0345217	Cloacal exstrophy
C0857332	Clonic movements
C0009024	Clonus
C0009062	Clostridium Infections
C1142300	Clostridium colitis
C0238106	Clostridium difficile colitis
C0683369	Clouded consciousness
C0278034	Cloudy urine
C0233844	Clumsiness
C0009088	Cluster Headache
C0272315	Coagulation factor decreased
C1504379	Coagulation test abnormal
C0151563	Coagulation time prolonged
C1522058	Coagulative necrosis
C0009193	Coccydynia
C3495950	Cochlear toxicity
C0009241	Cognition Disorders
C0854193	Cognitive deterioration
C0151564	Cogwheel Rigidity
C0275524	Coinfection
C1610622	Coital bleeding
C0234192	Cold Sensation
C0424741	Cold feet
C0424740	Cold hands
C0857073	Cold hands & feet
C0009269	Cold intolerance
C0232431	Cold sweat
C0863093	Cold symptoms
C0009319	Colitis
C0162529	Colitis, Ischemic
C0400822	Colitis, Lymphocytic
C0400821	Colitis, Microscopic
C0009326	Collagen Diseases
C0262428	Collagen-vascular disease
C0344329	Collapse (finding)
C0699790	Colon Carcinoma
C0267516	Colon atonic
C0009376	Colonic Polyps
C0009377	Colonic Pseudo-Obstruction
C0742545	Colonic abscess
C0155018	Color Blindness, Acquired
C0242225	Color blindness
C2609264	Color vision change
C1527249	Colorectal Cancer
C0948380	Colorectal cancer metastatic
C0009421	Comatose
C0221228	Comedone
C0009443	Common Cold
C0338480	Common Migraine
C0043037	Common wart
C0009450	Communicable Diseases
C0694549	Community acquired pneumonia
C0206171	Community-Acquired Infections
C0009492	Compartment syndromes
C0581883	Complete Hearing Loss
C0151517	Complete atrioventricular block
C0152096	Complete trisomy 18 syndrome
C0852733	Completed Suicide
C0458219	Complex Regional Pain Syndromes
C0149958	Complex partial seizures
C1608942	Complication of device insertion
C0342257	Complications of Diabetes Mellitus
C0854567	Complications of transplant surgery
C0037926	Compression of spinal cord
C1704373	Compulsive Personality Disorder
C2242574	Compulsive sexual behaviour
C2242575	Compulsive shopping
C0264886	Conduction disorder of the heart
C0009663	Condylomata Acuminata
C0009676	Confusion
C1319200	Confusion postoperative
C0000768	Congenital Abnormality
C0242354	Congenital Disorders
C0016508	Congenital Foot Deformity
C0018798	Congenital Heart Defects
C0010308	Congenital Hypothyroidism
C0266241	Congenital absence of bile duct
C0542519	Congenital absence of kidney
C0012241	Congenital anomaly of gastrointestinal tract
C0265935	Congenital arterial malformation
C0151490	Congenital central nervous system anomaly
C0014065	Congenital cerebral hernia
C0008626	Congenital chromosomal disease
C0009081	Congenital clubfoot
C0311245	Congenital cystic kidney disease
C0235833	Congenital diaphragmatic hernia
C0266589	Congenital ear anomaly NOS (disorder)
C1306503	Congenital exomphalos
C0158687	Congenital genital malformation
C0152021	Congenital heart disease
C0235832	Congenital hernia
C0266316	Congenital hydronephrosis
C0521546	Congenital joint malformation
C0151491	Congenital musculoskeletal anomalies
C0497552	Congenital neurologic anomalies
C0795690	Congenital omphalocele
C0016842	Congenital pectus excavatum
C0345326	Congenital phimosis
C0521554	Congenital vesicoureteric reflux
C0018802	Congestive heart failure
C0009759	Conjunctival Diseases
C0948282	Conjunctival bleb
C0235263	Conjunctival congestion
C0155170	Conjunctival cyst
C0948288	Conjunctival discharge
C0009760	Conjunctival haemorrhage
C1761613	Conjunctival hyperemia
C0239093	Conjunctival irritation
C0151601	Conjunctival oedema
C3665609	Conjunctival xerosis
C0009763	Conjunctivitis
C0549350	Conjunctivitis exacerbated
C0854165	Conjunctivitis papillary
C0009782	Connective Tissue Diseases
C1112341	Connective tissue inflammation
C0234428	Consciousness abnormal
C0009806	Constipation
C0856088	Constipation aggravated
C0401149	Constipation chronic
C0011616	Contact Dermatitis
C0221717	Contact lens intolerance
C1393815	Contraceptive device complication
C0541840	Contraction skeletal muscle
C0009917	Contracture
C0853800	Contrast media reaction
C0009938	Contusions
C0009946	Conversion disorder
C0234975	Convulsions aggravated
C0751494	Convulsive Seizures
C0234972	Convulsive disorder
C0151569	Coombs direct test positive
C0520736	Coombs positive hemolytic anemia
C0239113	Coombs test positive
C0858589	Coordination disturbance
C0034072	Cor pulmonale
C0010034	Corneal Diseases
C0010038	Corneal Opacity
C0339293	Corneal Perforation
C0010043	Corneal Ulcer
C0010032	Corneal abrasion
C0853954	Corneal calcification
C0948284	Corneal decompensation
C0948085	Corneal defect
C0155118	Corneal degeneration
C0162281	Corneal deposits
C0010037	Corneal edema
C0423232	Corneal epithelial staining pattern
C0854114	Corneal epithelium defect
C0854717	Corneal epithelium disorder
C0392163	Corneal erosion
C0853336	Corneal infiltrates
C1112489	Corneal irritation
C0151571	Corneal lesion
C0423226	Corneal pigmentation
C0349702	Corneal scar
C0859996	Corneal sensitivity decreased
C0474444	Corneal stromal edema
C1096274	Corneal thinning
C0010054	Coronary Arteriosclerosis
C1956346	Coronary Artery Disease
C0010073	Coronary Artery Vasospasm
C0151814	Coronary Occlusion
C0242231	Coronary Stenosis
C0010072	Coronary Thrombosis
C0856171	Coronary artery disease aggravated
C0542052	Coronary artery insufficiency
C0010068	Coronary heart disease
C1536080	Coronary stent thrombosis
C0010093	Corpus Luteum Cyst
C0271053	Cotton wool spots
C0151574	Cough decreased
C0574067	Cough increased
C0522046	Cough suppression
C0010200	Coughing
C0019559	Coxalgia
C0023218	Cramps of lower extremities
C0010266	Cranial nerve diseases
C0151311	Cranial nerve palsies
C0018674	Craniocerebral Trauma
C0010278	Craniosynostosis
C0860942	Creatine increased
C0151576	Creatine phosphokinase increased
C0241005	Creatine phosphokinase serum increased
C0151578	Creatinine increased
C0239150	Creatinine low
C0860945	Creatinine normal
C0151577	Creatinine renal clearance decreased
C0010346	Crohn Disease
C0267380	Crohn's disease of the ileum
C0852922	Crohns disease aggravated
C1112632	Cross reactive drug hypersensitivity
C2363980	Cross resistance
C0853811	Croup infectious
C0010399	Crying
C0235939	Crying abnormal
C1096256	Cryptococcal cutaneous infection
C0010417	Cryptorchidism
C0010418	Cryptosporidiosis
C0948002	Crystal urine present
C0151579	Crystalluria
C0151580	Crystalluria calcium
C0855652	Culture negative
C0035127	Cumulative Trauma Disorders
C0010481	Cushing Syndrome
C0332601	Cushingoid facies
C0006846	Cutaneous Candidiasis
C0151779	Cutaneous Melanoma
C0585186	Cutaneous hypersensitivity
C1276146	Cutaneous lymphoma
C0036203	Cutaneous sarcoidosis
C0262988	Cutaneous vasculitis
C0010495	Cutis Laxa
C0232452	Cutis anserina
C0854725	Cyanopsia
C0010520	Cyanosis
C0235532	Cyanosis peripheral
C1394290	Cyanotic heart disease
C0152219	Cyclophoria
C0235238	Cycloplegia
C0948765	Cyclosporine toxicity
C0010709	Cyst
C0241060	Cyst of skin
C0010692	Cystitis
C0085692	Cystitis haemorrhagic
C0403632	Cystitis noninfective
C0919823	Cytolytic hepatitis
C0276253	Cytomegaloviral pneumonia
C0010823	Cytomegalovirus Infections
C0206178	Cytomegalovirus Retinitis
C0877072	Cytomegalovirus chorioretinitis
C0341335	Cytomegalovirus colitis
C0877117	Cytomegalovirus gastritis
C0276252	Cytomegalovirus hepatitis
C1112469	Cytomegalovirus syndrome
C0877635	Cytomegalovirus viraemia
C0010828	Cytopenia
C1868998	Cytotoxic oedema
C0852970	Dacryoadenitis acquired
C0010930	Dacryocystitis
C1096185	Dacryostenosis acquired
C1608399	Dark circles under eyes
C0011053	Deafness
C0151585	Deafness permanent
C1148477	Deafness, Sudden
C1306577	Death (finding)
C0410916	Death neonatal
C1619727	Decompensated cirrhosis
C0232462	Decrease in appetite
C0011124	Decreased Libido
C0232695	Decreased bowel sounds
C0277890	Decreased diastolic arterial pressure
C0520837	Decreased forced expiratory volume
C0863087	Decreased immune responsiveness
C0424091	Decreased interest
C0861157	Decreased night vision
C0392386	Decreased platelet count
C0221147	Decreased platelet production (finding)
C1295585	Decreased vibratory sense
C0149871	Deep Vein Thrombosis
C0426636	Defaecation urgency
C0041782	Deficiency anaemia
C3203690	Deficiency of bile secretion
C2939465	Deficiency of glucose-6-phosphate dehydrogenase
C0151995	Degeneration of uterine fibroid
C0029408	Degenerative polyarthritis
C0011168	Deglutition Disorders
C0011175	Dehydration
C0520757	Delayed Emergence from Anesthesia
C0020522	Delayed Hypersensitivity
C0034012	Delayed Puberty
C0235863	Delayed delivery
C0740411	Delayed gastric emptying
C1112573	Delayed orgasm
C0011206	Delirium
C0234983	Delirium toxic
C0424024	Delusional perception
C0011253	Delusions
C0497327	Dementia
C0011269	Dementia, Vascular
C0270922	Demyelinating polyneuropathy
C0011304	Demyelination
C0011334	Dental caries
C1096257	Dental discomfort
C0011432	Dentin Sensitivity
C0155947	Dentofacial anomaly
C0439857	Dependence
C0278080	Dependence physiological
C0278079	Dependence psychological
C0011551	Depersonalization
C0683416	Depersonalization Disorder
C0541865	Deposit eye
C0549249	Depressed Level of Consciousness
C0344315	Depressed mood
C0235876	Depression aggravated
C0221745	Depression suicidal
C0086132	Depressive Symptoms
C0011581	Depressive disorder
C0349217	Depressive episode, unspecified
C0233754	Derealization
C1696701	Dermatillomania
C0011603	Dermatitis
C0234894	Dermatitis acneiform
C0854697	Dermatitis flare-up
C0235955	Dermatitis hemorrhagic
C0457798	Dermatitis of eyelid
C0262985	Dermatitis psoriasiform
C0162820	Dermatitis, Allergic Contact
C0011615	Dermatitis, Atopic
C0162823	Dermatitis, Irritant
C0162824	Dermatitis, Photoallergic
C0162830	Dermatitis, Phototoxic
C0037274	Dermatologic disorders
C0011630	Dermatomycoses
C0011633	Dermatomyositis
C0011636	Dermatophytosis
C0011649	Dermoid Cyst
C0237020	Dermoid cyst of ovary
C0920192	Descemetitis
C2747905	Destructive thyroiditis
C0541879	Detachment psychological
C1261562	Detrusor instability
C0011757	Developmental Coordination Disorder
C0424605	Developmental delay (disorder)
C0853959	Device breakage
C2747891	Device capturing issue
C1608950	Device dislocation
C0549478	Device expulsion
C0853893	Device interaction
C1504465	Device malfunction
C1608397	Device occlusion
C1619702	Device related infection
C2747852	Device related sepsis
C0011848	Diabetes Insipidus
C0011849	Diabetes Mellitus
C0011854	Diabetes Mellitus, Insulin-Dependent
C0011860	Diabetes Mellitus, Non-Insulin-Dependent
C0235398	Diabetes mellitus exacerbated
C0860160	Diabetes mellitus inadequate control
C1263960	Diabetes with coma (disorder)
C0241863	Diabetic
C0011875	Diabetic Angiopathies
C0011880	Diabetic Ketoacidosis
C0011881	Diabetic Nephropathy
C0011882	Diabetic Neuropathies
C0011884	Diabetic Retinopathy
C0853011	Diabetic hyperglycaemic coma
C0740447	Diabetic peripheral neuropathy
C0221040	Dialysis dementia
C0011974	Diaper Rash
C0019284	Diaphragmatic Hernia
C0011991	Diarrhea
C0151594	Diarrhoea haemorrhagic
C0036679	Diastasis
C0520863	Diastolic dysfunction
C0235222	Diastolic hypertension
C0856050	Diet refusal
C1744587	Difficulty balancing
C0541881	Difficulty focusing eyes
C0241705	Difficulty passing urine
C0235162	Difficulty sleeping
C0541882	Difficulty thinking
C0311394	Difficulty walking
C0079744	Diffuse Large B-Cell Lymphoma
C0406458	Diffuse alopecia
C0151595	Digitalis intoxication (NOS)
C0012254	Digitalis toxicity
C0857457	Digoxin effect
C0581164	Digoxin level increased
C0274727	Digoxin toxicity
C0264734	Dilatation atrial
C0521620	Dilatation of ureter
C0221165	Diplegia
C0012569	Diplopia
C0740434	Direct bilirubin increased
C0231170	Disability
C0423006	Discharge from eye
C0232861	Discharge from penis
C0012624	Discitis
C0151907	Discoloration of skin
C2607896	Discomfort of vulva
C0541887	Discomfort rectal
C0235874	Disease Exacerbation
C0242656	Disease Progression
C0151785	Disease of mucous membrane
C0268919	Disease of scrotum
C0679254	Disease recurrence
C0155388	Diseases of external ear
C0494559	Diseases of inner ear
C0026265	Diseases of mitral valve
C0242362	Disk, Herniated
C0012691	Dislocations
C0302590	Disorder calcium (NOS)
C1704431	Disorder of electrolytes
C0015397	Disorder of eye
C0265122	Disorder of pericardium
C0029132	Disorder of the optic nerve
C0032708	Disorders of Porphyrin Metabolism
C0267994	Disorders of fluid, electrolyte and acid-base balance
C0233407	Disorientation
C0340643	Dissection of aorta
C0012739	Disseminated Intravascular Coagulation
C0152915	Disseminated tuberculosis
C0086168	Dissociation
C0012746	Dissociative disorder
C0233415	Distractibility
C0231303	Distress
C0548823	Distress gastrointestinal
C0233414	Disturbance in attention
C2939186	Disturbance in mood
C0855242	Disturbance in sexual arousal
C0233632	Disturbance in thinking
C0541900	Disulfiram like reaction
C0012797	Diuresis
C0948429	Diuretic Effect
C0853013	Diverticular perforation
C0012813	Diverticulitis
C0856115	Diverticulitis aggravated
C1510475	Diverticulosis
C0012817	Diverticulum
C0012833	Dizziness
C0549239	Dizziness aggravated
C0234988	Dizziness exertional
C0234987	Dizziness postural
C0857087	Dizzy spells
C0013080	Down Syndrome
C0235966	Dreaming excessive
C0860514	Dreamy state
C0013132	Drooling
C0425591	Dropped beats - heart
C0232124	Dropped beats - pulse
C0013144	Drowsiness
C0013182	Drug Allergy
C1510472	Drug Dependence
C0011609	Drug Eruptions
C0687133	Drug Interactions
C0029944	Drug Overdose
C1142139	Drug Reaction with Eosinophilia and Systemic Symptoms
C0013220	Drug Tolerance
C0013146	Drug abuse
C1536055	Drug administration error
C0521845	Drug effect decreased
C0151730	Drug effect increased
C0392167	Drug effect prolonged
C1320835	Drug fever
C0852908	Drug ineffective
C0277585	Drug intolerance
C0854095	Drug level changed
C0151598	Drug level decreased
C0151599	Drug level increased
C0743295	Drug screen positive
C0694536	Drug seeking behavior
C0521854	Drug tolerance decreased
C0013221	Drug toxicity
C0234547	Drug withdrawal convulsions
C0152128	Drug withdrawal syndrome
C0860207	Drug-Induced Liver Injury
C1142295	Drug-induced cough
C1168290	Drug-induced hypersensitivity syndrome
C0263591	Drug-induced lupus erythematosus
C0270729	Drug-induced parkinsonism
C0013238	Dry Eye Syndromes
C0850149	Dry cough
C0277960	Dry hair
C0847631	Dry scalp
C0151908	Dry skin
C0235234	Dry throat
C0314719	Dryness of eye
C0013295	Duodenal Ulcer
C0267356	Duodenal perforation
C0541913	Duodenal ulcer aggravated
C0151966	Duodenal ulcer haemorrhage
C0740401	Duodenal ulcer perforation
C0013298	Duodenitis
C0013312	Dupuytren Contracture
C0013336	Dwarfism
C1510450	Dysacusis
C1328291	Dysaesthesia pharynx
C0013362	Dysarthria
C0013363	Dysautonomia
C0237326	Dyschezia
C0858618	Dyschromatopsia
C0234979	Dysdiadochokinesis
C0013369	Dysentery
C0281825	Dysequilibrium
C0394006	Dysequilibrium syndrome
C0392699	Dysesthesia
C0549609	Dysfunction adrenal
C0348024	Dysfunction thyroid
C0013378	Dysgeusia
C0234144	Dysgraphia
C0013384	Dyskinetic syndrome
C0476254	Dyslexia
C0242339	Dyslipidemias
C0013390	Dysmenorrhea
C1737329	Dysmorphism
C0026986	Dysmyelopoietic Syndromes
C0235287	Dysosmia
C1384606	Dyspareunia
C0013395	Dyspepsia
C0853926	Dyspepsia aggravated
C0973461	Dysphasia
C1096340	Dysphemia
C1527344	Dysphonia
C0233477	Dysphoria
C0334044	Dysplasia
C0013404	Dyspnea
C0231807	Dyspnea on exertion
C0853326	Dyspnoea exacerbated
C0700201	Dyssomnias
C0241237	Dysstasia
C0013415	Dysthymic Disorder
C0013418	Dystocia
C0393593	Dystonia Disorders
C0013423	Dystonia Musculorum Deformans
C0541919	Dystonic reaction
C0221260	Dystrophia unguium
C0333582	Dystrophic calcification
C0013428	Dysuria
C1141959	ECG signs of myocardial ischaemia
C0013447	Ear Diseases
C0029877	Ear Inflammation
C0235283	Ear buzzing
C0456495	Ear canal erythema
C0849796	Ear congestion
C0948296	Ear discomfort
C0522348	Ear feels clogged
C0271412	Ear haemorrhage
C0849907	Ear pruritus
C0235282	Ear roaring
C0013456	Earache
C0541798	Early Awakening
C0342548	Early menarche
C0239233	Early satiety
C0013473	Eating Disorders
C0013491	Ecchymosis
C1262195	Echoacousia
C0476369	Echocardiogram abnormal
C0013528	Echolalia
C0013537	Eclampsia
C0032987	Ectopic Pregnancy
C1321523	Ectopic atrial pacemaker
C0013589	Ectromelia
C0013592	Ectropion
C0269189	Ectropion of cervix
C0013595	Eczema
C0936250	Eczema Herpeticum
C0541922	Eczema allergic atopic
C0853246	Eczema exacerbated
C0155177	Eczematous dermatitis of eyelid
C0013604	Edema
C0239819	Edema hands
C0162285	Edema of eyelid
C0574002	Edema of foot (finding)
C0239340	Edema of lower extremities
C0236065	Edema of mouth
C0333244	Edema transient
C0013608	Edema, Cardiac
C0235140	Effect of drug maladministration
C0343166	Effusion of knee
C0235213	Ejaculation decreased
C0234047	Ejaculation delayed
C0235969	Ejaculation disorder
C0278106	Ejaculation failure
C0235214	Ejaculation inhibited
C0743400	Ejection fraction decreased
C0221271	Elastosis perforans serpiginosa
C0600125	Electrocardiogram PR prolongation
C0520878	Electrocardiogram PR shortened
C0429098	Electrocardiogram QRS complex
C0438173	Electrocardiogram QRS complex abnormal
C0235475	Electrocardiogram QRS complex prolonged
C0855331	Electrocardiogram QT corrected interval
C0855333	Electrocardiogram QT corrected interval prolonged
C1504435	Electrocardiogram QT interval abnormal
C0151878	Electrocardiogram QT prolonged
C0151879	Electrocardiogram QT shortened
C0429029	Electrocardiogram ST segment
C0855335	Electrocardiogram ST segment abnormal
C0919620	Electrocardiogram ST-T change
C0948376	Electrocardiogram ST-T segment abnormal
C0438167	Electrocardiogram T wave abnormal
C0232333	Electrocardiogram U wave present
C1096355	Electrocardiogram U-wave abnormality
C0522055	Electrocardiogram abnormal
C0236141	Electrocardiogram abnormal specific
C0855329	Electrocardiogram change
C0877038	Electrocardiogram poor R-wave progression
C0948857	Electrocardiogram repolarisation abnormality
C0151611	Electroencephalogram abnormal
C0151613	Electrolyte abnormality
C0151614	Electrolyte depletion
C0342579	Electrolyte imbalance
C0740464	Electrolytes NOS decreased
C0340861	Electromechanical dissociation
C0476397	Electroretinogram abnormal
C0857093	Elevated liver enzyme levels
C0233479	Elevated mood
C0262469	Embolic stroke
C0013922	Embolism
C0852628	Embolism arterial (limb)
C0235487	Embolism limb
C0340726	Embolism venous
C0013927	Embolism, Amniotic Fluid
C1704212	Embolus
C0151618	Embolus leg
C0013985	Emotional Disturbances
C0233459	Emotional disorder
C0700361	Emotional distress
C0235113	Emotional poverty
C0677660	Emotional problems
C0392168	Emprosthotonus
C0014034	Enanthema
C0014038	Encephalitis
C0238097	Encephalitis cytomegalovirus
C0014059	Encephalomyelitis, Acute Disseminated
C0085584	Encephalopathies
C1306587	Encephalopathy acute
C0149504	Encephalopathy, Toxic
C0745744	End Stage Liver Disease
C0740832	End stage AIDS
C0014118	Endocarditis
C0014130	Endocrine System Diseases
C0476089	Endometrial Carcinoma
C0014173	Endometrial Hyperplasia
C1153706	Endometrial adenocarcinoma
C0151622	Endometrial disorder
C0858833	Endometrial hypertrophy
C0743516	Endometrial thickening
C0014175	Endometriosis
C0014179	Endometritis
C0553980	Endomyocardial Fibrosis
C0014236	Endophthalmitis
C0281803	Endotracheal intubation complication
C1868879	Endotracheal tube obstruction
C0455769	Energy increased
C0156394	Enlarged clitoris
C0151994	Enlarged uterus
C0392025	Enlargement abdomen
C0014306	Enophthalmos
C0014335	Enteritis
C0743525	Enterobacter sepsis
C0086227	Enterobiasis
C0854504	Enterococcal bacteraemia
C0851881	Enterococcal infection
C0014356	Enterocolitis
C0151623	Enterocolitis haemorrhagic
C1142115	Enterocolitis infectious
C0520459	Enterocolitis, Necrotizing
C0343387	Enterocolitis, Neutropenic
C0014358	Enterocolitis, Pseudomembranous
C0341318	Enterocutaneous Fistula
C0014394	Enuresis
C0014431	Enzyme Induction
C0151625	Enzyme abnormality
C0272195	Eosinopenia
C0853644	Eosinophil count abnormal
C2240374	Eosinophil count raised (finding)
C0014457	Eosinophilia
C1527407	Eosinophilic Pneumonia
C0742965	Eosinophilic cystitis
C0151788	Eosinophilic myocarditis
C0239276	Eosinophiluria
C0014488	Epicondylitis
C1697943	Epidermal growth factor receptor decreased
C1167709	Epidermal necrosis
C0333472	Epidermolysis
C0014527	Epidermolysis Bullosa
C0239279	Epididymal tenderness
C0014534	Epididymitis
C0149881	Epididymo-orchitis
C0270629	Epidural Abscess
C1960509	Epidural lipomatosis
C1291078	Epigastric discomfort
C0221490	Epigastric distress
C0232570	Epigastric fullness
C0232493	Epigastric pain
C0235296	Epigastric pain not food-related
C0014541	Epiglottitis
C0014550	Epilepsies, Myoclonic
C0014544	Epilepsy
C0852977	Epilepsy aggravated
C0151628	Epiphyses premature fusion
C0014571	Epiphyses, Slipped
C0014583	Episcleritis
C0014591	Epistaxis
C1318314	Epithelial cells urine
C0014511	Epithelial cyst
C0149678	Epstein-Barr Virus Infections
C0575090	Equilibration disorder
C0278126	Equilibrium loss
C0242350	Erectile dysfunction
C0541941	Erection increased
C2242621	Erection prolonged
C0014714	Ergotism
C0267055	Erosive esophagitis
C0014724	Eructation
C0302295	Eruptions
C0221252	Eruptive xanthoma
C0014733	Erysipelas
C0041834	Erythema
